"EAUS_Educational attainment, at least completed upper secondary (ISCED 3 or more) (% population aged 25+), by sex"
"na Kyrgyz Republic/Kyrgyzskaya Respublika ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74.72;..;..;..;..;..;..;..;..;..;87.09;..;..;..;..;..;..;..;..
"na Kyrgyz Republic/Kyrgyzskaya Respublika ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;79.44;..;..;..;..;..;..;..;..;..;89.73;..;..;..;..;..;..;..;..
"LV Latvia/Latvija ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;79.05;80.08;79.83;80.97;82.16;84.13;85.57;85.08;86.34;87.16;87.79;88.60;89.41;..
"LV Latvia/Latvija ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;80.05;81.54;81.63;83.10;84.27;86.51;87.87;87.44;88.56;89.30;90.21;90.83;91.05;..
"LV Latvia/Latvija ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;77.89;78.34;77.72;78.47;79.68;81.34;82.89;82.24;83.71;84.63;84.93;86.00;87.50;..
"LI Liechtenstein /Lichtenstein ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;71.49;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"LI Liechtenstein /Lichtenstein ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;62.50;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"LI Liechtenstein /Lichtenstein ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;80.88;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"LT Lithuania/Lietuva ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74.18;75.86;76.54;78.35;79.43;80.55;81.67;81.55;82.31;83.33;84.31;86.01;..
"LT Lithuania/Lietuva ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;71.76;74.43;74.81;75.93;76.99;78.12;79.11;79.20;80.10;81.47;82.83;84.03;..
"LT Lithuania/Lietuva ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;77.18;77.64;78.69;81.38;82.47;83.59;84.87;84.55;85.12;85.69;86.20;88.54;..
"LU Luxembourg/Luxembourg (Grand-Duché) ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39.95;..;50.53;..;..;..;61.72;..;75.26;75.52;74.91;76.25;78.30;79.57;..;..;..
"LU Luxembourg/Luxembourg (Grand-Duché) ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41.78;..;43.16;..;..;..;56.11;..;70.62;71.17;71.09;72.60;75.47;75.73;..;..;..
"LU Luxembourg/Luxembourg (Grand-Duché) ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;37.55;..;58.22;..;..;..;67.12;..;79.92;79.93;78.72;79.92;81.12;83.36;..;..;..
"MT Malta/Malta ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;20.40;..;..;..;..;22.77;..;23.06;..;..;25.87;27.37;32.44;34.48;35.77;36.91;38.07;..
"MT Malta/Malta ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;17.12;..;..;..;..;16.80;..;18.66;..;..;22.06;23.43;28.28;32.10;34.10;35.46;37.03;..
"MT Malta/Malta ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;23.83;..;..;..;..;29.08;..;27.64;..;..;29.83;31.48;36.75;36.97;37.48;38.38;39.12;..
"na Metropolitan France/France métropolitaine ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Metropolitan France/France métropolitaine ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Metropolitan France/France métropolitaine ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Moldova/Republica Moldova ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;72.92;74.20;75.19;74.40;74.44;74.55;74.11;74.72;74.73;..;..
"na Moldova/Republica Moldova ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;69.85;71.12;72.44;71.69;71.92;72.13;71.73;73.00;73.52;..;..
"na Moldova/Republica Moldova ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;76.48;77.77;78.38;77.57;77.36;77.33;76.88;76.74;76.13;..;..
"na Monaco/Monaco ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Monaco/Monaco ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Monaco/Monaco ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"ME Montenegro/Montenegrin ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;64.55;..;..;..;..;..;..;..;72.56;..;..;..;..;..;..
"ME Montenegro/Montenegrin ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;55.61;..;..;..;..;..;..;..;65.23;..;..;..;..;..;..
"ME Montenegro/Montenegrin ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74.26;..;..;..;..;..;..;..;80.43;..;..;..;..;..;..
"NL Netherlands/Nederland ";"Total";..;16.30;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;64.73;64.95;..;67.45;66.22;66.34;66.77;66.41;67.10;69.53;69.42;69.57;69.99;..
"NL Netherlands/Nederland ";"Female";..;13.50;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;59.09;59.26;..;62.66;61.64;62.03;62.28;62.58;63.18;65.25;65.26;65.48;66.23;..
"NL Netherlands/Nederland ";"Male";..;19.12;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;70.58;70.88;..;72.45;71.01;70.85;71.46;70.40;71.19;73.98;73.75;73.82;73.89;..
"na New Zealand/New Zealand ";"Total";..;..;..;..;..;..;..;..;..;..;..;56.70;..;..;..;..;..;..;..;..;..;46.90;..;..;..;..;..;..;..;..;..;..;..;..;..;..;72.77;..;..;..;..;68.96;68.79;..;69.49;69.54;70.03;..
"na New Zealand/New Zealand ";"Female";..;..;..;..;..;..;..;..;..;..;..;55.41;..;..;..;..;..;..;..;..;..;40.90;..;..;..;..;..;..;..;..;..;..;..;..;..;..;72.36;..;..;..;..;66.90;66.85;..;67.11;67.44;68.32;..
"na New Zealand/New Zealand ";"Male";..;..;..;..;..;..;..;..;..;..;..;58.08;..;..;..;..;..;..;..;..;..;53.31;..;..;..;..;..;..;..;..;..;..;..;..;..;..;73.22;..;..;..;..;71.18;70.87;..;72.08;71.83;71.90;..
"NO Norway/Norge ";"Total";28.10;..;..;..;..;32.30;..;..;..;..;38.17;..;..;..;..;..;..;..;..;..;66.02;..;..;..;..;..;..;..;..;..;..;..;..;..;80.69;71.27;73.25;73.65;74.93;74.89;75.41;75.99;..;..;77.01;77.49;77.84;..
"NO Norway/Norge ";"Female";22.40;..;..;..;..;26.60;..;..;..;..;32.65;..;..;..;..;..;..;..;..;..;62.50;..;..;..;..;..;..;..;..;..;..;..;..;..;86.14;68.44;71.16;71.74;73.63;73.42;74.09;74.78;..;..;76.30;76.89;77.41;..
"NO Norway/Norge ";"Male";34.12;..;..;..;..;38.31;..;..;..;..;44.02;..;..;..;..;..;..;..;..;..;69.76;..;..;..;..;..;..;..;..;..;..;..;..;..;83.13;74.22;75.43;75.64;76.27;76.42;76.79;77.24;..;..;77.73;78.10;78.28;..
"PL Poland/Polska ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;71.89;..;..;..;..;..;78.84;79.91;80.82;81.55;82.09;82.85;83.49;..;84.86;..
"PL Poland/Polska ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;68.04;..;..;..;..;..;75.50;76.80;77.80;78.66;79.25;80.14;80.85;..;82.54;..
"PL Poland/Polska ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;76.24;..;..;..;..;..;82.64;83.44;84.25;84.82;85.26;85.87;86.43;..;87.44;..
"PT Portugal/Portugal ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14.55;15.26;15.68;16.43;16.74;18.44;20.33;21.34;22.41;22.29;22.80;24.06;25.60;27.88;30.02;31.87;34.21;35.43;36.77;..
"PT Portugal/Portugal ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14.62;15.18;15.58;16.52;17.23;19.10;20.88;22.13;23.22;23.29;23.75;25.02;26.99;29.09;31.40;33.48;35.97;36.70;38.07;..
"PT Portugal/Portugal ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14.47;15.34;15.78;16.32;16.19;17.71;19.70;20.45;21.49;21.17;21.72;22.96;24.00;26.48;28.44;30.01;32.16;33.95;35.25;..
"na Republic of Kazakhstan/Qazaqstan ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;70.52;..;..;..;..;..;..;..;96.31;..;84.98;..;..;..;..;..;..;..;..
"na Republic of Kazakhstan/Qazaqstan ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;68.33;..;..;..;..;..;..;..;96.43;..;84.29;..;..;..;..;..;..;..;..
"na Republic of Kazakhstan/Qazaqstan ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;73.16;..;..;..;..;..;..;..;96.18;..;85.78;..;..;..;..;..;..;..;..
"na Republic of Tajikistan/Jumhurii Tojikiston ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;78.96;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;80.64
"na Republic of Tajikistan/Jumhurii Tojikiston ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;73.64;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;76.14
"na Republic of Tajikistan/Jumhurii Tojikiston ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;84.45;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;85.18
"na Republic of Turkmenistan/Türkmenistan Respublikasy ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;77.07;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Republic of Turkmenistan/Türkmenistan Respublikasy ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;73.18;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Republic of Turkmenistan/Türkmenistan Respublikasy ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;81.30;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Republic of Uzbekistan/ Ozbekiston Respublikasi ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;91.54;91.95;92.08;92.56;..
"na Republic of Uzbekistan/ Ozbekiston Respublikasi ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;89.76;90.17;90.30;91.03;..
"na Republic of Uzbekistan/ Ozbekiston Respublikasi ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;93.40;93.79;93.93;94.16;..
"RO Romania/Romania ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;52.65;..;..;..;..;64.27;64.72;64.23;64.03;64.86;65.84;66.46;62.98;64.66;66.42;..
"RO Romania/Romania ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;45.15;..;..;..;..;57.43;58.30;58.07;57.89;58.95;60.17;60.91;57.86;59.40;61.30;..
"RO Romania/Romania ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;60.92;..;..;..;..;71.78;71.76;70.98;70.77;71.35;72.05;72.55;68.56;70.38;71.99;..
"na Russian Federation/Russia ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;89.08;..;..;..;..;..;..;..;84.53;..;..;..;..;..;..;..
"na Russian Federation/Russia ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;89.41;..;..;..;..;..;..;..;83.46;..;..;..;..;..;..;..
"na Russian Federation/Russia ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;88.71;..;..;..;..;..;..;..;85.89;..;..;..;..;..;..;..
"na San Marino/Repubblica di San Marino ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na San Marino/Repubblica di San Marino ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na San Marino/Repubblica di San Marino ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"RS Serbia/Republika Srbija ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;62.55;62.99;63.67;66.60;..;66.56;68.57;70.90;71.41;..
"RS Serbia/Republika Srbija ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;55.12;56.04;56.26;60.70;..;60.37;62.42;65.20;65.83;..
"RS Serbia/Republika Srbija ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;70.88;70.85;71.91;73.05;..;73.41;75.39;77.13;77.50;..
"SK Slovakia/Slovenská Republika ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41.75;..;..;..;..;..;..;..;..;..;84.85;85.38;85.96;85.32;86.69;87.16;..
"SK Slovakia/Slovenská Republika ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;42.86;..;..;..;..;..;..;..;..;..;80.34;80.59;81.27;81.08;82.60;82.97;..
"SK Slovakia/Slovenská Republika ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;40.50;..;..;..;..;..;..;..;..;..;89.81;90.64;91.10;89.95;91.14;91.60;..
"SI Slovenia/Slovenija ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74.05;73.62;75.03;73.21;75.80;77.32;77.67;78.45;79.16;79.78;80.09;81.50;81.87;..
"SI Slovenia/Slovenija ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;68.03;67.32;69.51;69.36;70.09;71.60;72.30;73.12;74.52;75.47;75.32;76.73;77.30;..
"SI Slovenia/Slovenija ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;80.59;80.45;81.06;77.43;81.86;83.38;83.37;84.08;84.08;84.31;85.14;86.36;86.61;..
"ES Spain/España ";"Total";6.24;..;..;..;..;..;..;..;..;..;..;12.80;..;..;..;..;15.70;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;37.26;40.39;41.44;42.32;42.83;43.33;44.25;45.27;45.60;..;47.24;47.86;48.65;..
"ES Spain/España ";"Female";4.04;..;..;..;..;..;..;..;..;..;..;9.60;..;..;..;..;12.40;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;35.35;38.55;39.74;40.57;41.30;42.07;42.90;44.24;44.81;..;46.51;47.34;48.42;..
"ES Spain/España ";"Male";8.71;..;..;..;..;..;..;..;..;..;..;16.33;..;..;..;..;19.32;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39.29;42.34;43.23;44.17;44.44;44.67;45.67;46.36;46.45;..;48.01;48.42;48.89;..
"SE Sweden/Sverige ";"Total";35.38;..;..;..;42.65;..;..;..;..;51.10;..;..;..;..;..;..;52.88;54.17;55.57;56.89;58.78;60.03;62.72;64.51;65.70;67.04;..;..;..;..;..;..;..;..;78.25;79.04;79.74;80.40;76.27;76.96;77.62;78.32;79.00;73.92;74.47;75.03;75.56;..
"SE Sweden/Sverige ";"Female";31.10;..;..;..;39.33;..;..;..;..;48.35;..;..;..;..;..;..;51.32;52.72;54.19;55.51;57.83;59.13;62.49;64.76;66.12;67.49;..;..;..;..;..;..;..;..;79.86;80.72;81.51;82.22;76.58;77.35;78.09;78.86;79.64;72.84;73.58;74.32;75.03;..
"SE Sweden/Sverige ";"Male";39.59;..;..;..;45.89;..;..;..;..;53.95;..;..;..;..;..;..;54.47;55.66;56.98;58.31;59.76;60.95;62.95;64.25;65.28;66.58;..;..;..;..;..;..;..;..;76.66;77.38;78.00;78.60;75.96;76.55;77.13;77.76;78.34;75.02;75.39;75.76;76.10;..
"CH Switzerland /Schweiz-Svizzera-Suisse";"Total";21.02;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;82.72;82.45;82.36;83.24;..;84.64;85.19;84.54;..
"CH Switzerland /Schweiz-Svizzera-Suisse";"Female";19.30;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;77.09;77.70;77.72;78.94;..;80.64;81.62;80.71;..
"CH Switzerland /Schweiz-Svizzera-Suisse";"Male";23.05;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;88.73;87.57;87.33;87.84;..;88.84;88.92;88.55;..
"TR Turkey/Türkiye ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;21.03;22.19;23.20;23.69;26.49;27.70;29.99;31.80;32.77;33.76;35.24;37.07;34.27;..
"TR Turkey/Türkiye ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14.84;15.64;16.71;17.38;20.69;21.72;23.58;25.13;26.11;27.12;28.54;30.45;28.52;..
"TR Turkey/Türkiye ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;27.25;28.77;29.73;30.03;32.48;33.86;36.56;38.64;39.59;40.56;42.08;43.84;40.10;..
"na Ukraine/Ukraina ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74.32;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Ukraine/Ukraina ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;71.11;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"na Ukraine/Ukraina ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;78.37;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"UK United Kingdom/United Kingdom ";"Total";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;84.67;86.43;86.08;87.74;74.00;74.71;..;..;..
"UK United Kingdom/United Kingdom ";"Female";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;82.65;84.54;84.55;86.41;72.03;73.30;..;..;..
"UK United Kingdom/United Kingdom ";"Male";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;86.75;88.35;87.71;89.08;76.01;76.15;..;..;..
"na United States/United States ";"Total";65.70;..;..;..;..;..;..;..;..;..;77.13;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;85.15;85.19;85.72;..;86.61;86.71;87.15;87.59;87.68;88.15;88.31;88.41;89.09;..
"na United States/United States ";"Female";66.80;..;..;..;..;..;..;..;..;..;77.18;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;85.43;85.44;86.38;..;87.23;87.13;87.66;88.05;88.04;88.62;88.86;88.76;89.60;..
"na United States/United States ";"Male";64.47;..;..;..;..;..;..;..;..;..;77.08;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;84.85;84.93;85.01;..;85.95;86.25;86.60;87.10;87.29;87.64;87.72;88.04;88.55;..
